,h,lam,tol,ite_f,ite_r,time_f,time_r,err_f,err_r,err_comp
35,64.0,1e-06,1e-06,8.0,12.0,2.6794841289520264,0.6517651081085205,0.2313670960390937,0.22808394205691457,0.0055819931614696115
36,64.0,1e-06,1e-07,16.0,22.0,5.253986120223999,1.2979049682617188,0.1833996157246115,0.1843284435764637,0.0034138398210817543
37,64.0,1e-06,1e-08,24.0,36.0,7.947321891784668,1.492483139038086,0.18116367353019436,0.1811744289280667,0.000569959161242719
38,64.0,1e-06,1e-09,29.0,52.0,9.863834857940674,1.9509589672088623,0.18119394376363904,0.18116789799184896,0.00011192496424944875
39,64.0,1e-06,1e-10,33.0,70.0,10.903089761734009,2.5638327598571777,0.18120279666937883,0.18117645559912754,0.00010880279941685584
40,64.0,1e-07,1e-06,8.0,12.0,2.7404980659484863,0.6217737197875977,0.22601936409991533,0.2228639852643342,0.005654587693847421
41,64.0,1e-07,1e-07,18.0,41.0,6.0003228187561035,1.570012092590332,0.16006145376791706,0.1696519081436479,0.062051889792076154
42,64.0,1e-07,1e-08,42.0,94.0,13.944254875183105,3.435945987701416,0.20669149819805196,0.2082934539286477,0.006101575916942994
43,64.0,1e-07,1e-09,70.0,118.0,23.250430822372437,4.302579879760742,0.20996586258990382,0.2098718856701415,0.001279420553364017
44,64.0,1e-07,1e-10,87.0,179.0,28.76307511329651,6.526984930038452,0.20999700246008,0.2100155534549568,0.00015617940656480157
45,64.0,1e-08,1e-06,8.0,12.0,2.771671772003174,0.689122200012207,0.22550072448625172,0.22235587782626826,0.005679984992329671
46,64.0,1e-08,1e-07,18.0,71.0,6.040947914123535,2.5690760612487793,0.16062204923731188,0.37735451955367316,0.33134688056298833
47,64.0,1e-08,1e-08,127.0,247.0,42.65601706504822,9.040244817733765,0.7343708871767972,0.7376740929517581,0.013038030488296095
48,64.0,1e-08,1e-09,160.0,379.0,53.552979946136475,14.208061933517456,0.7430551816107057,0.7434289672940733,0.002434589120699052
49,64.0,1e-08,1e-10,208.0,540.0,68.2887327671051,18.281291961669922,0.7433017267434385,0.7435401180391441,0.0006222184926170197
50,128.0,0.0001,1e-06,6.0,6.0,16.49057102203369,2.2379891872406006,0.3640905321219573,0.3641414366374055,0.00016241392263656644
51,128.0,0.0001,1e-07,7.0,8.0,18.93475580215454,2.5341989994049072,0.364009524194899,0.364003030392775,1.7895827472876868e-05
52,128.0,0.0001,1e-08,8.0,9.0,21.659366846084595,2.6547658443450928,0.36398925295013324,0.3639837655121458,1.768077868709279e-05
53,128.0,0.0001,1e-09,9.0,12.0,24.29725432395935,3.119004964828491,0.3639873693215482,0.36398192586255373,1.7708811860544917e-05
54,128.0,0.0001,1e-10,10.0,13.0,26.9211208820343,3.267224073410034,0.36398732274794404,0.36398189705479,1.7710454285337417e-05
55,128.0,1e-05,1e-06,8.0,9.0,21.514280796051025,2.6279523372650146,0.29683099524122275,0.3012841092692318,0.008697142937024392
56,128.0,1e-05,1e-07,11.0,14.0,29.48184084892273,3.4154961109161377,0.29334743074667347,0.29333357463797327,9.287337040925752e-05
57,128.0,1e-05,1e-08,13.0,20.0,34.967015981674194,4.295711994171143,0.29314967945902654,0.29314690728831694,5.020582018602033e-05
58,128.0,1e-05,1e-09,14.0,23.0,37.59783887863159,4.760913133621216,0.293142923381981,0.293127824198821,4.986180571493861e-05
59,128.0,1e-05,1e-10,17.0,30.0,45.58779573440552,5.820396900177002,0.29314002429746056,0.2931261376467381,4.9163444297858795e-05
60,128.0,1e-06,1e-06,8.0,9.0,21.444053173065186,2.6621806621551514,0.25392706221834527,0.271891175474215,0.03764937540795659
61,128.0,1e-06,1e-07,16.0,23.0,42.84242916107178,4.7554521560668945,0.20314188724811205,0.20370355510898183,0.001957148312271312
62,128.0,1e-06,1e-08,20.0,36.0,53.53411102294922,6.698920965194702,0.19980197103512606,0.19950264163301631,0.0008317163313748715
63,128.0,1e-06,1e-09,30.0,55.0,80.2324390411377,9.562121391296387,0.19900496141962,0.1989561415477721,0.0001468416229633493
64,128.0,1e-06,1e-10,35.0,69.0,94.02884197235107,11.662016868591309,0.1990073693152687,0.19895852275312795,0.00014477512221433965
65,128.0,1e-07,1e-06,8.0,9.0,21.611735820770264,2.670893669128418,0.247775979548778,0.26832809532722596,0.04583259436564211
66,128.0,1e-07,1e-07,18.0,41.0,48.15623927116394,7.457841873168945,0.16788808768242655,0.15803161120016673,0.04490654567099278
67,128.0,1e-07,1e-08,42.0,81.0,113.17146801948547,13.53087830543518,0.1649656166059715,0.16453070258791302,0.002158528377713377
68,128.0,1e-07,1e-09,64.0,117.0,172.0972936153412,18.918087244033813,0.1662246241235909,0.16617676402329967,0.0005484120272995467
69,128.0,1e-07,1e-10,86.0,188.0,231.493656873703,29.549299955368042,0.16633015058651066,0.16632215508417175,0.0002567507046435399
70,128.0,1e-08,1e-06,8.0,9.0,21.499669790267944,2.6648640632629395,0.2471687660964435,0.267979306443032,0.046783868185168456
71,128.0,1e-08,1e-07,18.0,41.0,48.50771999359131,7.445813179016113,0.16566045490178422,0.15765946388179042,0.06282221937758128
72,128.0,1e-08,1e-08,97.0,208.0,261.68296098709106,32.60853719711304,0.48347689752057343,0.4821198357077332,0.004546131622507714
73,128.0,1e-08,1e-09,133.0,376.0,359.79642391204834,57.798399209976196,0.49441551720282917,0.495125240764375,0.0063326128755716235
74,128.0,1e-08,1e-10,183.0,493.0,495.7712769508362,75.48484706878662,0.49511138723629494,0.4952408663084186,0.00037807580200122857
75,256.0,0.0001,1e-06,5.0,5.0,164.475980758667,18.56569004058838,0.3669948378416012,0.36699220160202317,4.143888103372546e-05
76,256.0,0.0001,1e-07,7.0,8.0,226.27392053604126,20.588402032852173,0.36633988305808224,0.3663333468567248,2.1505738913824555e-05
77,256.0,0.0001,1e-08,8.0,9.0,260.0219919681549,21.395358085632324,0.366320951882031,0.36631899687888997,2.377187201864156e-05
78,256.0,0.0001,1e-09,9.0,11.0,291.57891297340393,22.288933753967285,0.366319471105739,0.36631441715591057,2.1675598216226763e-05
79,256.0,0.0001,1e-10,10.0,13.0,323.27431297302246,24.076525926589966,0.3663194254954692,0.36631387584054964,2.1323853395112524e-05
80,256.0,1e-05,1e-06,8.0,9.0,259.4178800582886,21.327571153640747,0.3077899098400621,0.31217449938069275,0.008644106372051591
81,256.0,1e-05,1e-07,11.0,14.0,356.6466009616852,24.56603503227234,0.30486240778885226,0.30484818767312233,8.582342853757234e-05
82,256.0,1e-05,1e-08,12.0,20.0,390.1700601577759,28.557812929153442,0.30475327878789227,0.3046738305887384,0.00020347303087501695
83,256.0,1e-05,1e-09,14.0,23.0,457.3611030578613,30.47306203842163,0.30467601127687244,0.3046648734981392,5.1928058152951606e-05
84,256.0,1e-05,1e-10,17.0,28.0,548.4442019462585,34.009336709976196,0.3046715617372954,0.30466165866077055,5.143489480351271e-05
85,256.0,1e-06,1e-06,8.0,9.0,258.349063873291,21.13557004928589,0.26696908762009125,0.2851198819858748,0.03849643794009347
86,256.0,1e-06,1e-07,16.0,23.0,516.6473438739777,30.40491008758545,0.2195214644158317,0.21881436902386125,0.0015300419762845042
87,256.0,1e-06,1e-08,20.0,40.0,670.7806589603424,42.336814641952515,0.21488761695195244,0.2147607943797807,0.00032180209417602927
88,256.0,1e-06,1e-09,29.0,57.0,964.2826039791107,54.855859994888306,0.2144883478931015,0.2144638996321608,8.667126149413572e-05
89,256.0,1e-06,1e-10,33.0,74.0,1072.0742661952972,65.0199019908905,0.2144754775676648,0.21445337448757018,8.417109954509224e-05
90,256.0,1e-07,1e-06,8.0,9.0,263.78924798965454,21.86485195159912,0.2607606345768666,0.2817552542774955,0.04727420476218533
91,256.0,1e-07,1e-07,18.0,41.0,585.5963847637177,42.81144595146179,0.17797365631733023,0.16295845557357092,0.041030344369357825
92,256.0,1e-07,1e-08,33.0,83.0,1086.669429063797,71.02743911743164,0.15566330842413062,0.15501042698775258,0.010998705751197168
93,256.0,1e-07,1e-09,60.0,117.0,1984.345174074173,94.32709980010986,0.15534891910722487,0.15532591933545833,0.00023855315643189274
94,256.0,1e-07,1e-10,72.0,174.0,2376.415428161621,131.99670004844666,0.15542744295540603,0.15542358146247745,0.00017226352059393504
95,256.0,1e-08,1e-06,8.0,9.0,262.8584089279175,21.749158143997192,0.2601383504722522,0.2814239186517854,0.04830255727435393
96,256.0,1e-08,1e-07,18.0,41.0,588.0929489135742,42.97977590560913,0.17434554047282724,0.15785566547211888,0.05785457533827733
97,256.0,1e-08,1e-08,73.0,190.0,2422.115005016327,143.78777027130127,0.2616573591866937,0.27831268128333664,0.03217068181749146
98,256.0,1e-08,1e-09,147.0,400.0,4820.658476829529,285.12242007255554,0.296870154828806,0.2973526507525233,0.003732470716801799
99,256.0,1e-08,1e-10,212.0,485.0,6962.40424990654,339.6007618904114,0.29737740804808555,0.2974154374361419,0.0001703569049285339
