,h,lam,tol,ite_f,ite_r,time_f,time_r,nm_f,nm_r,res_f,res_r,err_f,err_r,err_comp
41,64.0,0.0001,1e-06,5.0,6.0,1.5574448108673096,0.3442580699920654,0.3461910865556975,0.346315333007785,0.001292444771385,0.0012890808437819,0.2983937142262206,0.2982280344023838,0.0003312225124529
42,128.0,0.0001,1e-06,4.0,5.0,10.393427848815918,2.0494773387908936,0.2878252529104133,0.2880385495457997,0.0011310185201578,0.0011229762318923,0.3057183306187323,0.3030616158260962,0.0060249051732049
43,256.0,0.0001,1e-06,4.0,5.0,131.8756399154663,20.25388193130493,0.2553768218101039,0.2555896366558281,0.0010322057124285,0.0010243917389438,0.3046119595688072,0.3021798177651069,0.0057139861871031
44,32.0,0.0001,1e-07,6.0,8.0,0.277735948562622,0.1023602485656738,0.3894376313830745,0.3894424856548502,0.0013793527948989,0.0013792108742306,0.2829211355792163,0.282841376872716,0.0002541209082491
45,64.0,0.0001,1e-07,6.0,8.0,1.8709001541137693,0.4094228744506836,0.3462085692705827,0.3462133371450352,0.0012918461234968,0.0012917131387848,0.2976374306343587,0.2975564077284454,0.0002529846525946
46,128.0,0.0001,1e-07,6.0,8.0,15.344270944595335,2.3739728927612305,0.2880721092484354,0.2880762540119099,0.0011219905234209,0.0011218796998318,0.3023861049845043,0.3023194039348907,0.0002153163498375
47,256.0,0.0001,1e-07,6.0,8.0,196.45064496994016,20.93117594718933,0.2556233980637466,0.2556279301857823,0.0010234296295711,0.0010233101948584,0.3015959895031776,0.3015161520199784,0.0002503745019561
48,32.0,0.0001,1e-08,7.0,9.0,0.3164467811584472,0.1126558780670166,0.3894384632700466,0.389444412031473,0.0013793244140882,0.0013791562816018,0.2828500298850004,0.282821584503973,7.138088283101937e-05
49,64.0,0.0001,1e-08,7.0,9.0,2.204378843307495,0.4572741985321045,0.3462095061404879,0.3462173649164954,0.0012918157914189,0.0012916049913872,0.2975638912975327,0.2975373774166445,6.571750871503355e-05
50,128.0,0.0001,1e-08,7.0,9.0,17.975746870040894,2.5446720123291016,0.2880729368510814,0.2880776946643982,0.0011219648626595,0.0011218425171144,0.302325166204933,0.3023003091324052,6.266757935787125e-05
51,256.0,0.0001,1e-08,7.0,9.0,228.00086617469788,21.46044421195984,0.2556245936180419,0.2556299236225581,0.0010233935210769,0.001023260213601,0.3015209577377308,0.3014979016115533,5.939699887455423e-05
52,32.0,0.0001,1e-09,8.0,11.0,0.3674740791320801,0.1332960128784179,0.3894385102632677,0.3894425530524416,0.0013793228671857,0.0013792087659063,0.2828288753359348,0.2828200287819772,2.118608101858473e-05
53,64.0,0.0001,1e-09,8.0,11.0,2.473737955093384,0.5016181468963623,0.346209555621741,0.3462135136060962,0.0012918142374436,0.0012917081965935,0.2975421263790315,0.297534458324944,1.9375047074359903e-05
54,128.0,0.0001,1e-09,8.0,11.0,20.664365768432617,2.9439542293548584,0.2880729863620698,0.2880762920387196,0.0011219633781189,0.0011218785245979,0.3023047617285104,0.3022984985056068,1.61328548048988e-05
55,256.0,0.0001,1e-09,8.0,11.0,259.5075602531433,22.343580961227417,0.2556246439550234,0.2556279880391768,0.0010233920518708,0.0010233085516796,0.3015012635479814,0.3014962646658754,1.5551685495817815e-05
56,32.0,0.0001,1e-10,9.0,13.0,0.405646800994873,0.1547582149505615,0.3894385108472277,0.3894426100037629,0.0013793228492839,0.0013792071625474,0.2828270436660615,0.2828195732532913,2.1302933641032647e-05
57,64.0,0.0001,1e-10,9.0,13.0,2.788894891738892,0.5620958805084229,0.3462095585350516,0.3462135880083812,0.0012918141575152,0.0012917062072697,0.2975399228976089,0.2975337006404425,1.955544256021164e-05
